_id,connections.group-affiliation,connections.relatives
656188ca17cbd6bc5d2d40a9,"Alpha Flight, Alpha Flight (Space Program), Royal Canadian Mounted Police; formerly Weapon X, ally of the Havok's Brotherhood, Headbangers , Children of the Vault, X-Men (interim member)","Jean-Baptiste Beaubier (father, deceased), unidentified mother (deceased), Jean-Paul Beaubier (Northstar, twin brother) Joanna Beaubier (adopted niece, deceased); Lois and Genevieve Martin (first cousins once removed/adopted parents, deceased)"
656188ca17cbd6bc5d2d40aa,-,"Kurt Wagner (Nightcrawler, son), Nils Styger (Abyss, son), Kiwi Black (son), numberous other offspring (deceased)"
656188ca17cbd6bc5d2d40ab,Order of St. Dumas; formerly Gotham City Police Department; Three Ghosts of Batman,"Mitchell Lane (father; deceased), Barbara Lane (mother; deceased), Marion Lane (brother; deceased), Gwendolyn Lane (sister; deceased), Chante Coles (wife; deceased), Henry Mitchell Lane (son; deceased), Jenny Lane (Sister-in-law)"
656188ca17cbd6bc5d2d40ac,The Presence,-
656188ca17cbd6bc5d2d40ad,"Suicide Squad, The Secret Society of Super Villains",King Snake (father)
656188ca17cbd6bc5d2d40ae,"Currently X-Corps, formerly Generation X, Factor Three, X-Men","Maeve Rourke Cassidy (wife, deceased), Thomas (Black Tom, cousin), Theresa Rourke (Siryn, daughter)"
656188ca17cbd6bc5d2d40af,"Captain America, Pro-Registration forces",-
656188ca17cbd6bc5d2d40b0,-,"James Gordon (father)   Barbara Eileen (mother)   James Gordon, Jr. (brother)"
656188ca17cbd6bc5d2d40b1,Former associated partner of Batman and Robin of Earth-One; Partner of Katherine Kane,"Katherine Kane (Batwoman I,  Aunt)"
656188ca17cbd6bc5d2d40b2,-,-
656188ca17cbd6bc5d2d40b3,"Titans East, League of Assassins, Batman Family, Justice League Elite, Young Justice","David Cain (father), Lady Shiva (mother), Carolyn (aunt, deceased), Annalea (sibling, deceased), 'The Mad Dog' (sibling)"
656188ca17cbd6bc5d2d40b4,-,-
656188ca17cbd6bc5d2d40b5,"The Batman Family, formerly the Birds of Prey, Tim Drake (on-and-off boyfriend)","Arthur Brown (The Cluemaster, father), Crystal Brown (mother), unnamed daughter (given up for adoption)"
656188ca17cbd6bc5d2d40b6,"Batman Family, Justice League Unlimited","Bruce Wayne (biological father), Warren McGinnis (father, deceased), Mary McGinnis (mother), Matt McGinnis (brother)"
656188ca17cbd6bc5d2d40b7,"Batman Family, Batman Incorporated, Justice League, Outsiders, Wayne Enterprises, Club of Heroes, formerly White Lantern Corps, Sinestro Corps","Damian Wayne (son), Dick Grayson (adopted son), Tim Drake (adopted son), Jason Todd (adopted son), Cassandra Cain (adopted ward)
Martha Wayne (mother, deceased), Thomas Wayne (father, deceased), Alfred Pennyworth (former guardian), Roderick Kane (grandfather, deceased), Elizabeth Kane (grandmother, deceased), Nathan Kane (uncle, deceased), Simon Hurt (ancestor), Wayne Family"
656188ca17cbd6bc5d2d40b8,"Justice League Of America, Batman Family","John Grayson (father, deceased), Mary Grayson (mother, deceased), Bruce Wayne / Batman (adoptive father), Damian Wayne / Robin (foster brother), Jason Todd / Red Hood (adoptive brother), Tim Drake / Red Robin (adoptive brother), Cassandra Cain / Batgirl IV (adoptive sister)"
656188ca17cbd6bc5d2d40b9,"Formerly Wild Pack, Bold Urban Commandos (Buckies), former partner of U.S.Agent, operative of the Commission on Superhuman Activities",-
656188ca17cbd6bc5d2d40ba,"Batman Family (unofficially), D.E.O, Unknowns","Jacob Kane (father), Gabi Kane (mother; deceased), Beth Kane (twin sister), Mary Elizabeth ""Bette"" Kane (cousin), Catherine Hamilton-Kane (stepmother), Philip Kane (uncle), Kane Family"
656188ca17cbd6bc5d2d40bb,"Formerly New Warriors, Exiles, Brotherhood Of Mutants, Xavier Institute Student Body","Charles (father), Kathy (mother), Angel Salvadore (wife), Tito (son), Axel (son), Kara (daughter), three unidentified children"
656188ca17cbd6bc5d2d40bc,"Secret Avengers, S.W.O.R.D.; formerly X-Men (founding member); X-Club (founding member); Initiative; 198; X-Treme X-Men; Acolytes (while mind-controlled); Queen's Vengeance; X-Factor/X-Terminators (founding member); Rejects; Defenders, Avengers","Sadie McCoy (paternal grandmother), Norton McCoy (father), Edna McCoy (mother), Robert McCoy (paternal great-uncle), John McCoy (uncle)"
656188ca17cbd6bc5d2d40bd,"Teen Titans; former member of the original Doom Patrol, Titans West","Mark Logan (father, deceased), Marie Logan (mother, deceased), Steve Dayton/Mento (adoptive father), Rita Farr/Elasti-Girl (adoptive mother), Matt Logan (cousin)"
656188ca17cbd6bc5d2d40be,-,-
656188ca17cbd6bc5d2d40bf,-,-
656188ca17cbd6bc5d2d40c0,"ally of the Asgardians, Thor Corps, Star Masters",-
656188ca17cbd6bc5d2d40c1,Was once in a merged form with the Molecule Man but is no longer merged with him.,-
656188ca17cbd6bc5d2d40c2,"Apocalypse, New Gods, Birds of Prey, formerly Female Furies, formerly Justice League of America","Big Breeda (mother), Scott Free (Mister Miricle, husband), Highfather Izaya (father-in-law, deceased)"
656188ca17cbd6bc5d2d40c3,-,Hit-Girl (daughter)
656188ca17cbd6bc5d2d40c4,"Daily Bugle, the Enforcers","Janice Foswell (daughter), unnamed wife"
656188ca17cbd6bc5d2d40c5,Alphas,-
656188ca17cbd6bc5d2d40c6,-,-
656188ca17cbd6bc5d2d40c7,"currently Avengers, former companion to the X-Men (as Carol Danvers), former member of the Starjammers (as Binary), Former Avenger (as Ms. Marvel)","Joseph (father), Marie (mother), Steve (brother, deceased),"
656188ca17cbd6bc5d2d40c8,-,-
656188ca17cbd6bc5d2d40c9,"New Mutants, Ani-Mate",-
656188ca17cbd6bc5d2d40ca,Ani-Men,-
656188ca17cbd6bc5d2d40cb,Ani-Men,-
656188ca17cbd6bc5d2d40cc,-,-
656188ca17cbd6bc5d2d40cd,"""Clean City""; formerly Stryfe; X-Men; X.S.E. (Storm's team); X-Treme X-Men; X.S.E. (Hecate'e's team); The Twelve","Burnum Bishop (father, deceased), Kadee Bishop (mother, deceased), Shard (sister, deceased), unnamed grandmother, Gateway (great-grandfather), Aliyah Bishop (alternate reality daughter);"
656188ca17cbd6bc5d2d40ce,Superman Revenge Squad; Bizarros of Bizarro World; former associate of the Secret Society of Super-Villains; Joker League of Anarchy; former partner of Batzarro,"Bizarro-Lois No. 1 (wife, Pre-Crisis only), Bizarro, Jr. (son, Pre-Crisis only), Bizarro-Lois, Jr. (daughter, Pre-Crisis only)"
656188ca17cbd6bc5d2d40cf,-,-
656188ca17cbd6bc5d2d40d0,"None; Formerly the Black Marvel Family, Society of Villains, Injustice Society, Justice Society of America","Shiruta (wife, deceased), Gon and Hurut (sons, deceased) Theo Adam (descendant, currently in control of his body), Sarah Primm (descendant, Theo's sister), Adrianna Tomaz (wife. deceased), Amon Tomaz (brother-in-law, deceased)"
656188ca17cbd6bc5d2d40d1,Universal Inhumans; Inhuman Royal Family; formerly Illuminati,"Medusa (wife and first cousin), Ahura (son), Agon (father, deceased), Rynda(mother, deceased), Maximus (brother), Crystal (sister-in-law), Gorgon, Karnak, Triton (cousins)"
656188ca17cbd6bc5d2d40d2,"Birds of Prey; formerly Justice League of America, Justice Society of America, Justice League Task Force, Justice League International, Team Arrow","Larry Lance (father, deceased), Dinah Drake Lance (Black Canary, mother, deceased); Oliver Queen (Green Arrow, husband); Craig Windrow (ex-husband); Sin (adoptive daughter)"
656188ca17cbd6bc5d2d40d3,Justice Society of America,"Richard Drake (father), Lawrence Lance (husband), Dinah Laurel Lance (Black Canary, daughter), Oliver Queen (Green Arrow, son-in-law)"
656188ca17cbd6bc5d2d40d4,Formerly Heroes for Hire,"Walter Hardy (father, deceased), Lydia Hardy (mother)"
656188ca17cbd6bc5d2d40d5,-,-
656188ca17cbd6bc5d2d40d6,-,-
656188ca17cbd6bc5d2d40d7,"MI-13; formerly Avengers, Masters of Evil (as a mole), Excalibur, Heroes for Hire, Ultraforce (in the Ultraverse), Defenders, Knights of Wundagore, Queen's Vengeance, King Richard's Army","Nathan Garrett (Black Knight II, uncle, deceased); Sir Percy of Scandia (Black Knight), Sir Raston, Eobar Garrington (Black Knights of past eras, ancestors, deceased); Lady Rosamund, Edward, Geoffrey (ancestral relations, presumed deceased); Dafydd ap Iowerth, Arthur Pendragon, Mordred the Evil, Morgan Le Fay (distant ancestral relations)"
656188ca17cbd6bc5d2d40d8,"Justice League of America (current), formerly Presidential Cabinet, The Outsiders (sporadically), Batman's Brother Eye attack group","Unnamed father (deceased), Lynn Stewart (ex-wife), Joanna Pierce (niece, deceased), Anissa Pierce (Thunder, daughter), Jennifer Pierce (Lightning, daughter)"
656188ca17cbd6bc5d2d40d9,"Serpent Squad, Serpent Society, BAD Girls",-
656188ca17cbd6bc5d2d40da,-,-
656188ca17cbd6bc5d2d40db,"Formerly Fantastic Four, Secret Avengers, Avengers, Pendragons, Queen's Vengeance, former Fantastic Force financier","Bashenga (paternal ancestor, deceased), Azzuri the Wise (paternal grandfather, deceased), Nanali (paternal grandmother, deceased), Chanda (paternal grandfather, presumably deceased), T Chaka (father, deceased), S'Yan (uncle, deceased), N Yami (mother, deceased), Ramonda (stepmother), Hunter (adopted brother), Jakarra (half-brother), Shuri (sister), Ororo Munroe (wife), Joshua Itobo, Ishanta, Zuni, M'Koni, T'Shan (cousins), Wheeler (cousin by marriage, deceased), Billy Wheeler (1st cousin once removed)"
656188ca17cbd6bc5d2d40dc,"Secret Avengers; formerly Thunderbolts (as Yelena Belova), Nick Fury, Mighty Avengers, S.H.I.E.L.D., Avengers, Champions of Los Angeles, Lady Liberators, KGB, ""Marvel Knights"", partner of Daredevil, Hawkeye, Boris Turgenov, Logan","Unnamed parents (presumed deceased); Alexi Shostakov (Red Guardian, estranged husband); Vindiktor (alleged brother, deceased)"
656188ca17cbd6bc5d2d40dd,-,-
656188ca17cbd6bc5d2d40de,Lilin; Deathwatch; Hood's gang,Lilith (Great Grandmother)
656188ca17cbd6bc5d2d40df,"Heavy Mettle; (formerly) Masters of Evil, Skeleton Crew, Circus of Crime; (formerly) division leader of Hydra","Silvio Manfredi (Silvermane, father), Caterina Manfredi (mother, deceased)"
656188ca17cbd6bc5d2d40e0,Underground Legion,"Tantalus (father); Nirvana (mother); Pelops (brother, deceased)"
656188ca17cbd6bc5d2d40e1,"Formerly Noah van Helsing's vampire hunters, Nightstalkers, Midnight Sons, the Nine, Quincy Harker's vampire hunters, Ogun Strong's vampire hunters, Bloodshadows gang",Tara Brooks (mother)
656188ca17cbd6bc5d2d40e2,Clan Askani/Clan Chosen,-
656188ca17cbd6bc5d2d40e3,-,"Roy ""Daddy Libido"" Washington (father), Angel ""Sexy Mutha"" Depres (mother)"
656188ca17cbd6bc5d2d40e4,"New Mutants; formerly X-Men, Selene's Inner Circle","Apocalypse (ancestor, deceased);Margaret Slade (ancestor, deceased);Hamilton Slade (distant relative, deceased);Frederick Slade (great-great-grandfather);Ms. Ferguson (great-great-grandmother, deceased);Chamber (distant cousin);Clan Akkaba (relatives)"
656188ca17cbd6bc5d2d40e5,"Former employee of Justin Hammer, partner of Blacklash and Melter",-
656188ca17cbd6bc5d2d40e6,-,-
656188ca17cbd6bc5d2d40e7,"Formerly Thunderbolts, Hammer Industries",-
656188ca17cbd6bc5d2d40e8,"X-Cell, formerly X-Corps, Magneto's army, Brotherhood Of Evil Mutants, Freedom Force, Factor Three, former partner of Unus",-
656188ca17cbd6bc5d2d40e9,-,-
656188ca17cbd6bc5d2d40ea,"X-Peditioners, formerly X-Men, Halo City Protectorate, Oasis",-
656188ca17cbd6bc5d2d40eb,-,-
656188ca17cbd6bc5d2d40ec,-,Danielle Garrett (granddaughter)
656188ca17cbd6bc5d2d40ed,-,-
656188ca17cbd6bc5d2d40ee,Formerly Justice League of America; formerly the L.A.W.; formerly Super Buddies,Jarvis Kord (uncle)
656188ca17cbd6bc5d2d40ef,"Justice League International,Posse; Teen Titans","Alberto Reyes (father); Bianca Reyes (mother); Milagro Reyes (younger sister); Alejandro Reyes (grandfather, deceased); Elena Leal (maternal grandmother)"
656188ca17cbd6bc5d2d40f0,-,-
656188ca17cbd6bc5d2d40f1,-,-
656188ca17cbd6bc5d2d40f2,"Dictator of New Port City, The Four Queens",-
656188ca17cbd6bc5d2d40f3,"Formerly Utopians, X-Men (New Charles Xavier School member), X-Force, X-Men, Nextwave, The Underground, Genoshan Mutates, New Mutants, X-Terminators (founding member), X-Factor (trainee), Fallen Angels, Beyonder (associate)",-
656188ca17cbd6bc5d2d40f4,-,-
656188ca17cbd6bc5d2d40f5,"Justice League International, Time Masters; formerly Conglomerate, Extreme Justice, Super Buddies","Jonar Carter (father), Ellen Carter (mother, deceased), Michelle Carter (aka Goldstar) (twin sister), Rip Hunter (son) · Rani (adopted daughter), Daniel Carter (21st century ancestor), Rose Levin (ancestor)"
656188ca17cbd6bc5d2d40f6,-,-
656188ca17cbd6bc5d2d40f7,Alpha Flight,No known relatives
656188ca17cbd6bc5d2d40f8,"Alpha Flight, Gamma Flight, Zodiac, Team_Weapon_X","Scramble (Lionel Jeffries, brother, deceased), Diamond Lil (wife)"
656188ca17cbd6bc5d2d40f9,Lex Luthor,"Vril Dox II (son), Brainiac 5 (descendant)"
656188ca17cbd6bc5d2d40fa,Legion of Super-Heroes,"Unnamed mother, Brainiac (ancestor)"
656188ca17cbd6bc5d2d40fb,-,"Daniel Drumm (brother deceased), Matilda Drumm (aunt)"
656188ca17cbd6bc5d2d40fc,-,-
656188ca17cbd6bc5d2d40fd,"Slayer Army, Scooby Gang, (formerly) The Initiative, Watchers Council","Joyce Summers (mother, deceased) ; Hank Summers (father) ; Dawn Summers (sister) ; Celia (cousin, deceased) ; Arlene (aunt)"
656188ca17cbd6bc5d2d40fe,"Formerly Dark Avengers, Thunderbolts, employee of Kingpin, Purple Man, Eric Slaughter, Mysterio; formerly US Army",Kingmaker (father)
656188ca17cbd6bc5d2d40ff,"Doom Patrol, S.T.A.R. Labs, Formerly Teen Titans",Mal Duncan (husband)
656188ca17cbd6bc5d2d4100,-,-
656188ca17cbd6bc5d2d4101,Teen Titans,-
656188ca17cbd6bc5d2d4102,"X-Force, (former) X-Men, Clan Askani, Clan Chosen, Six Pack (formerly Wild Pack II)","Scott Summers (Cyclops, father), Madelyne Pryor-Summers (Goblin Queen, mother, deceased), Jean Grey (Phoenix, stepmother), Alexander Summers (Havok, uncle), Christopher Summers (Corsair, paternal grandfather), Katherine Anne Summers (paternal grandmother, deceased), Philip Summers (great-grandfather), Deborah Summers (great-grandmother), Jenskot (Aliya, wife, deceased), Tyler (Genesis, son, deceased), Stryfe (clone, deceased), Gabriel Summers (Vulcan, uncle)"
656188ca17cbd6bc5d2d4103,"Excalibur, Morlocks, Gene Nation",-
656188ca17cbd6bc5d2d4104,Alphas,-
656188ca17cbd6bc5d2d4105,"X-Men, formerly X.S.E., Mutant Liberation Front, X-Treme X-Men, X-Corporation, X-Force, New Mutants, Hellions, Hellfire Club","Thomas Zebulon (father, deceased), Lucinda (mother), Lucas Bartholemew (uncle), Paige (Husk, sister), Joshua ""Jay"" (Icarus, brother, deceased), Joelle (sister), Elizabeth (sister), Melody (Aero, sister), Jebediah (brother), Lewis (brother), two other unnamed siblings, Ray Jr. (adopted brother)"
656188ca17cbd6bc5d2d4106,"Secret Avengers (Black OPS Unit Formerly,The Avengers, Secret Avengers (Civil War), New Avengers, formerly The Invaders, Secret Defenders The Redeemers; formerly partner of Bucky, Golden Girl, Rick Jones, Falcon, Demolition-Man and Nomad (Jack Monroe)","Joseph (father, deceased), Sara (mother, deceased), Ian Zola (Nomad) (adopted son)"
656188ca17cbd6bc5d2d4107,"Justice League, Extreme Justice, Super Buddies, Living Assault Weapons, Monarch's Army, United States Air Force","Angela Adam Eiling (wife, deceased), Peggy Eiling (daughter), Randy Eiling (son), Bette Sans Souci (ex-wife, divorced)"
656188ca17cbd6bc5d2d4108,"Braddock Academy, Captain Britain Corps, MI-13; formerly Excalibur, Hellfire Club (London Branch), Secret Avengers, Court of Otherworld, Knights of Pendragon's ally, Future Iron Man's Team","John Braddock (ancestor, possibly grandfather), James Braddock, Sr. (father, deceased), Lady Elizabeth Braddock (mother, deceased), James Braddock, Jr. (brother), Elizabeth Braddock (twin sister), Meggan (wife), William Puceanu (father-in-law)"
6563a1ae3ef936792ce0c211,"Hulk Family; Excelsior (sponsor), Avengers (honorary member); formerly partner of the Hulk, Captain America and Captain Marvel; Teen Brigade; ally of Rom","Marlo Chandler-Jones (wife); Polly (aunt); Mrs. Chandler (mother-in-law); Keith Chandler, Ray Chandler, three unidentified others (brothers-in-law); unidentified father (deceased); Jackie Shorr (alleged mother; unconfirmed)"
6563a1ae3ef936792ce0c212,Bureau for Paranormal Research and Defense,"Edith Howard (wife, deceased)"
6563a1ae3ef936792ce0c213,"Green Lantern Corps, Black Lantern Corps","Amon Sur (son), Arin Sur (sister), Thaal Sinestro (brother-in-law), Soranik Natu (niece)"
6563a1ae3ef936792ce0c214,"former member of the crew of the Andromeda Starship, ally of the Abominations and Forgotten","Nadia Dornova Blonsky (wife, separated)"
6563a1ae3ef936792ce0c215,Cosmic Beings,"Eternity (""Father"")"
6563a1ae3ef936792ce0c216,"Masters of Evil, Lethal Legion; formerly Worthy, Frightful Four: former agent of Loki and They Who Wield Power","Mary MacPherran (Titania) (wife); Jerry Sledge (son); Rockwell ""Rocky"" Davis (Hi-Llite) (cousin)"
6563a1ae3ef936792ce0c217,-,-
6563a1ae3ef936792ce0c218,"Omega Men, L.E.G.I.O.N., R.E.B.E.L.S., formerly Seven Soldiers of Victory","Alanna Strange (wife); Aleea Strange (daughter); Sardath (father-in-law); Janey Strange (sister); Todd Strange (brother, deceased); Bantteir (mother-in-law); Adam Strange II (descendent)"
