_id,powerstats.intelligence,powerstats.strength,powerstats.speed,powerstats.durability,powerstats.power,powerstats.combat
656188ca17cbd6bc5d2d4088,75.0,30.0,58.0,90.0,100.0,75.0
656188ca17cbd6bc5d2d4089,63.0,13.0,46.0,64.0,28.0,42.0
656188ca17cbd6bc5d2d408a,38.0,55.0,23.0,42.0,17.0,30.0
656188ca17cbd6bc5d2d408b,38.0,10.0,28.0,28.0,56.0,60.0
656188ca17cbd6bc5d2d408c,0.0,97.0,0.0,0.0,0.0,0.0
656188ca17cbd6bc5d2d408d,56.0,48.0,47.0,85.0,73.0,80.0
656188ca17cbd6bc5d2d408e,75.0,80.0,47.0,56.0,59.0,64.0
656188ca17cbd6bc5d2d408f,100.0,18.0,23.0,28.0,32.0,32.0
656188ca17cbd6bc5d2d4090,75.0,18.0,17.0,40.0,53.0,30.0
656188ca17cbd6bc5d2d4091,88.0,100.0,50.0,100.0,100.0,90.0
656188ca17cbd6bc5d2d4092,0.0,58.0,0.0,0.0,0.0,0.0
656188ca17cbd6bc5d2d4093,75.0,60.0,65.0,90.0,96.0,84.0
656188ca17cbd6bc5d2d4094,100.0,100.0,33.0,100.0,100.0,60.0
656188ca17cbd6bc5d2d4095,10.0,16.0,12.0,14.0,37.0,14.0
656188ca17cbd6bc5d2d4096,63.0,44.0,42.0,75.0,89.0,60.0
656188ca17cbd6bc5d2d4097,81.0,85.0,79.0,80.0,100.0,80.0
656188ca17cbd6bc5d2d4098,50.0,48.0,50.0,70.0,71.0,70.0
656188ca17cbd6bc5d2d4099,63.0,13.0,58.0,64.0,35.0,42.0
656188ca17cbd6bc5d2d409a,38.0,63.0,23.0,42.0,52.0,70.0
656188ca17cbd6bc5d2d409b,63.0,100.0,100.0,80.0,100.0,25.0
656188ca17cbd6bc5d2d409c,75.0,82.0,35.0,80.0,84.0,101.0
656188ca17cbd6bc5d2d409d,50.0,10.0,12.0,14.0,94.0,28.0
656188ca17cbd6bc5d2d409e,50.0,63.0,12.0,80.0,55.0,54.0
656188ca17cbd6bc5d2d409f,0.0,54.0,0.0,0.0,0.0,0.0
656188ca17cbd6bc5d2d40a0,0.0,90.0,0.0,0.0,0.0,0.0
656188ca17cbd6bc5d2d40a1,63.0,80.0,25.0,100.0,98.0,50.0
656188ca17cbd6bc5d2d40a2,63.0,100.0,42.0,100.0,27.0,80.0
656188ca17cbd6bc5d2d40a3,0.0,0.0,0.0,0.0,0.0,0.0
656188ca17cbd6bc5d2d40a4,0.0,0.0,0.0,0.0,0.0,0.0
656188ca17cbd6bc5d2d40a5,38.0,10.0,23.0,28.0,38.0,42.0
656188ca17cbd6bc5d2d40a6,88.0,10.0,33.0,45.0,40.0,60.0
656188ca17cbd6bc5d2d40a7,0.0,0.0,0.0,0.0,0.0,0.0
656188ca17cbd6bc5d2d40a8,0.0,0.0,0.0,0.0,0.0,0.0
656188ca17cbd6bc5d2d40a9,63.0,10.0,96.0,60.0,74.0,56.0
656188ca17cbd6bc5d2d40aa,50.0,11.0,47.0,95.0,100.0,80.0
656188ca17cbd6bc5d2d40ab,63.0,18.0,17.0,20.0,35.0,80.0
656188ca17cbd6bc5d2d40ac,0.0,98.0,0.0,0.0,0.0,0.0
656188ca17cbd6bc5d2d40ad,88.0,38.0,23.0,56.0,51.0,95.0
656188ca17cbd6bc5d2d40ae,50.0,10.0,58.0,40.0,63.0,70.0
656188ca17cbd6bc5d2d40af,25.0,53.0,23.0,54.0,21.0,56.0
656188ca17cbd6bc5d2d40b0,88.0,11.0,33.0,40.0,34.0,90.0
656188ca17cbd6bc5d2d40b1,0.0,27.0,0.0,0.0,0.0,0.0
656188ca17cbd6bc5d2d40b2,0.0,43.0,0.0,0.0,0.0,0.0
656188ca17cbd6bc5d2d40b3,69.0,12.0,27.0,56.0,46.0,100.0
656188ca17cbd6bc5d2d40b4,0.0,0.0,0.0,0.0,0.0,0.0
656188ca17cbd6bc5d2d40b5,75.0,10.0,23.0,28.0,22.0,80.0
656188ca17cbd6bc5d2d40b6,81.0,40.0,29.0,55.0,63.0,90.0
656188ca17cbd6bc5d2d40b7,100.0,26.0,27.0,50.0,47.0,100.0
656188ca17cbd6bc5d2d40b8,88.0,11.0,33.0,28.0,36.0,100.0
656188ca17cbd6bc5d2d40b9,50.0,53.0,35.0,74.0,48.0,74.0
656188ca17cbd6bc5d2d40ba,81.0,8.0,29.0,25.0,27.0,80.0
656188ca17cbd6bc5d2d40bb,0.0,0.0,0.0,0.0,0.0,0.0
656188ca17cbd6bc5d2d40bc,94.0,48.0,38.0,60.0,43.0,85.0
656188ca17cbd6bc5d2d40bd,50.0,28.0,50.0,70.0,79.0,40.0
656188ca17cbd6bc5d2d40be,0.0,54.0,0.0,0.0,0.0,0.0
656188ca17cbd6bc5d2d40bf,10.0,7.0,8.0,10.0,90.0,40.0
656188ca17cbd6bc5d2d40c0,63.0,80.0,35.0,95.0,100.0,84.0
656188ca17cbd6bc5d2d40c1,100.0,100.0,100.0,100.0,100.0,84.0
656188ca17cbd6bc5d2d40c2,88.0,100.0,79.0,100.0,100.0,100.0
656188ca17cbd6bc5d2d40c3,38.0,10.0,12.0,32.0,22.0,64.0
656188ca17cbd6bc5d2d40c4,75.0,12.0,23.0,28.0,19.0,70.0
656188ca17cbd6bc5d2d40c5,63.0,36.0,33.0,60.0,27.0,40.0
656188ca17cbd6bc5d2d40c6,0.0,0.0,0.0,0.0,0.0,0.0
656188ca17cbd6bc5d2d40c7,0.0,0.0,0.0,0.0,0.0,0.0
656188ca17cbd6bc5d2d40c8,56.0,37.0,33.0,40.0,20.0,40.0
656188ca17cbd6bc5d2d40c9,25.0,10.0,35.0,28.0,21.0,42.0
656188ca17cbd6bc5d2d40ca,0.0,0.0,0.0,0.0,0.0,0.0
656188ca17cbd6bc5d2d40cb,0.0,0.0,0.0,0.0,0.0,0.0
656188ca17cbd6bc5d2d40cc,0.0,35.0,0.0,0.0,0.0,0.0
656188ca17cbd6bc5d2d40cd,63.0,14.0,23.0,75.0,100.0,65.0
656188ca17cbd6bc5d2d40ce,38.0,95.0,100.0,100.0,100.0,85.0
656188ca17cbd6bc5d2d40cf,0.0,0.0,0.0,0.0,0.0,0.0
656188ca17cbd6bc5d2d40d0,88.0,100.0,92.0,100.0,100.0,56.0
656188ca17cbd6bc5d2d40d1,75.0,67.0,100.0,84.0,100.0,56.0
656188ca17cbd6bc5d2d40d2,63.0,8.0,33.0,20.0,52.0,80.0
656188ca17cbd6bc5d2d40d3,63.0,8.0,33.0,15.0,45.0,80.0
656188ca17cbd6bc5d2d40d4,75.0,16.0,33.0,10.0,23.0,70.0
656188ca17cbd6bc5d2d40d5,44.0,10.0,100.0,80.0,100.0,30.0
656188ca17cbd6bc5d2d40d6,0.0,0.0,0.0,0.0,0.0,0.0
656188ca17cbd6bc5d2d40d7,63.0,10.0,8.0,70.0,43.0,70.0
656188ca17cbd6bc5d2d40d8,50.0,11.0,53.0,28.0,70.0,75.0
656188ca17cbd6bc5d2d40d9,75.0,10.0,35.0,42.0,88.0,65.0
656188ca17cbd6bc5d2d40da,75.0,28.0,50.0,60.0,76.0,85.0
656188ca17cbd6bc5d2d40db,88.0,16.0,30.0,60.0,41.0,100.0
656188ca17cbd6bc5d2d40dc,75.0,13.0,33.0,30.0,36.0,100.0
656188ca17cbd6bc5d2d40dd,0.0,48.0,0.0,0.0,0.0,0.0
656188ca17cbd6bc5d2d40de,63.0,32.0,45.0,80.0,45.0,65.0
656188ca17cbd6bc5d2d40df,38.0,10.0,35.0,32.0,20.0,56.0
656188ca17cbd6bc5d2d40e0,50.0,28.0,8.0,30.0,69.0,25.0
656188ca17cbd6bc5d2d40e1,63.0,28.0,38.0,50.0,40.0,90.0
656188ca17cbd6bc5d2d40e2,0.0,0.0,0.0,0.0,0.0,0.0
656188ca17cbd6bc5d2d40e3,69.0,14.0,12.0,90.0,52.0,28.0
656188ca17cbd6bc5d2d40e4,50.0,8.0,20.0,28.0,77.0,64.0
656188ca17cbd6bc5d2d40e5,0.0,0.0,0.0,0.0,0.0,0.0
656188ca17cbd6bc5d2d40e6,0.0,72.0,0.0,0.0,0.0,0.0
656188ca17cbd6bc5d2d40e7,38.0,10.0,27.0,42.0,47.0,56.0
656188ca17cbd6bc5d2d40e8,10.0,83.0,23.0,95.0,28.0,72.0
656188ca17cbd6bc5d2d40e9,63.0,80.0,33.0,80.0,100.0,84.0
656188ca17cbd6bc5d2d40ea,50.0,10.0,50.0,80.0,80.0,64.0
656188ca17cbd6bc5d2d40eb,0.0,72.0,0.0,0.0,0.0,0.0
656188ca17cbd6bc5d2d40ec,0.0,0.0,0.0,0.0,0.0,0.0
656188ca17cbd6bc5d2d40ed,0.0,0.0,0.0,0.0,0.0,0.0
656188ca17cbd6bc5d2d40ee,0.0,45.0,0.0,0.0,0.0,0.0
656188ca17cbd6bc5d2d40ef,50.0,34.0,58.0,80.0,100.0,30.0
656188ca17cbd6bc5d2d40f0,63.0,10.0,38.0,36.0,68.0,70.0
656188ca17cbd6bc5d2d40f1,0.0,0.0,0.0,0.0,0.0,0.0
656188ca17cbd6bc5d2d40f2,0.0,73.0,0.0,0.0,0.0,0.0
656188ca17cbd6bc5d2d40f3,38.0,10.0,12.0,42.0,57.0,64.0
656188ca17cbd6bc5d2d40f4,0.0,0.0,0.0,0.0,0.0,0.0
656188ca17cbd6bc5d2d40f5,69.0,85.0,42.0,70.0,100.0,40.0
656188ca17cbd6bc5d2d40f6,0.0,0.0,0.0,0.0,0.0,0.0
656188ca17cbd6bc5d2d40f7,0.0,0.0,0.0,0.0,0.0,0.0
656188ca17cbd6bc5d2d40f8,50.0,75.0,23.0,28.0,11.0,56.0
656188ca17cbd6bc5d2d40f9,100.0,95.0,63.0,90.0,60.0,75.0
656188ca17cbd6bc5d2d40fa,100.0,10.0,23.0,28.0,60.0,32.0
656188ca17cbd6bc5d2d40fb,0.0,65.0,0.0,0.0,0.0,0.0
656188ca17cbd6bc5d2d40fc,69.0,32.0,25.0,40.0,27.0,15.0
656188ca17cbd6bc5d2d40fd,63.0,28.0,42.0,70.0,48.0,60.0
656188ca17cbd6bc5d2d40fe,50.0,11.0,25.0,70.0,20.0,70.0
656188ca17cbd6bc5d2d40ff,63.0,28.0,25.0,10.0,47.0,35.0
656188ca17cbd6bc5d2d4100,0.0,0.0,0.0,0.0,0.0,0.0
656188ca17cbd6bc5d2d4101,38.0,10.0,8.0,10.0,19.0,70.0
656188ca17cbd6bc5d2d4102,88.0,48.0,23.0,56.0,100.0,80.0
656188ca17cbd6bc5d2d4103,63.0,53.0,23.0,42.0,52.0,85.0
656188ca17cbd6bc5d2d4104,50.0,10.0,23.0,28.0,51.0,70.0
656188ca17cbd6bc5d2d4105,50.0,28.0,67.0,99.0,94.0,56.0
656188ca17cbd6bc5d2d4106,69.0,19.0,38.0,55.0,60.0,100.0
656188ca17cbd6bc5d2d4107,81.0,93.0,83.0,90.0,100.0,80.0
656188ca17cbd6bc5d2d4108,75.0,77.0,50.0,60.0,31.0,80.0
6563a1ae3ef936792ce0c211,38.0,100.0,17.0,80.0,24.0,64.0
6563a1ae3ef936792ce0c212,88.0,28.0,35.0,65.0,100.0,85.0
6563a1ae3ef936792ce0c213,50.0,90.0,53.0,64.0,99.0,65.0
6563a1ae3ef936792ce0c214,63.0,80.0,53.0,90.0,62.0,95.0
6563a1ae3ef936792ce0c215,88.0,63.0,83.0,100.0,100.0,55.0
6563a1ae3ef936792ce0c216,38.0,80.0,25.0,100.0,98.0,64.0
6563a1ae3ef936792ce0c217,63.0,10.0,12.0,100.0,100.0,64.0
6563a1ae3ef936792ce0c218,69.0,10.0,33.0,40.0,37.0,50.0
6563a1ae3ef936792ce0c219,0.0,46.0,0.0,0.0,0.0,0.0
6563a1ae3ef936792ce0c21a,10.0,8.0,13.0,5.0,5.0,20.0
6563a1ae3ef936792ce0c21b,75.0,28.0,38.0,80.0,72.0,95.0
6563a1ae3ef936792ce0c21c,50.0,85.0,100.0,85.0,100.0,40.0
6563a1ae3ef936792ce0c21d,56.0,48.0,35.0,80.0,34.0,55.0
6563a1ae3ef936792ce0c21e,63.0,80.0,23.0,90.0,100.0,32.0
6563a1ae3ef936792ce0c21f,50.0,80.0,42.0,90.0,100.0,50.0
6563a1ae3ef936792ce0c220,0.0,37.0,0.0,0.0,0.0,0.0
6563a1ae3ef936792ce0c221,63.0,10.0,17.0,10.0,7.0,55.0
6563a1ae3ef936792ce0c222,50.0,28.0,42.0,90.0,57.0,60.0
6563a1ae3ef936792ce0c223,0.0,0.0,0.0,0.0,0.0,0.0
6563a1ae3ef936792ce0c224,63.0,100.0,83.0,100.0,100.0,100.0
6563a1ae3ef936792ce0c225,0.0,0.0,0.0,0.0,0.0,0.0
6563a1ae3ef936792ce0c226,0.0,0.0,0.0,0.0,0.0,0.0
6563a1ae3ef936792ce0c227,75.0,30.0,58.0,90.0,100.0,75.0
6563a1ae3ef936792ce0c228,63.0,13.0,46.0,64.0,28.0,42.0
6563a1ae3ef936792ce0c229,38.0,55.0,23.0,42.0,17.0,30.0
6563a1ae3ef936792ce0c22a,38.0,10.0,28.0,28.0,56.0,60.0
6563a1ae3ef936792ce0c22b,0.0,97.0,0.0,0.0,0.0,0.0
6563a1ae3ef936792ce0c22c,56.0,48.0,47.0,85.0,73.0,80.0
6563a1ae3ef936792ce0c22d,75.0,80.0,47.0,56.0,59.0,64.0
6563a1ae3ef936792ce0c22e,100.0,18.0,23.0,28.0,32.0,32.0
6563a1ae3ef936792ce0c22f,75.0,18.0,17.0,40.0,53.0,30.0
6563a1ae3ef936792ce0c230,88.0,100.0,50.0,100.0,100.0,90.0
6563a1ae3ef936792ce0c231,0.0,58.0,0.0,0.0,0.0,0.0
6563a1ae3ef936792ce0c232,75.0,60.0,65.0,90.0,96.0,84.0
6563a1ae3ef936792ce0c233,100.0,100.0,33.0,100.0,100.0,60.0
6563a1ae3ef936792ce0c234,10.0,16.0,12.0,14.0,37.0,14.0
6563a1ae3ef936792ce0c235,63.0,44.0,42.0,75.0,89.0,60.0
6563a1ae3ef936792ce0c236,81.0,85.0,79.0,80.0,100.0,80.0
6563a1ae3ef936792ce0c237,50.0,48.0,50.0,70.0,71.0,70.0
6563a1ae3ef936792ce0c238,63.0,13.0,58.0,64.0,35.0,42.0
6563a1ae3ef936792ce0c239,38.0,63.0,23.0,42.0,52.0,70.0
6563a1ae3ef936792ce0c23a,63.0,100.0,100.0,80.0,100.0,25.0
6563a1ae3ef936792ce0c23b,75.0,82.0,35.0,80.0,84.0,101.0
6563a1ae3ef936792ce0c23c,50.0,10.0,12.0,14.0,94.0,28.0
6563a1ae3ef936792ce0c23d,50.0,63.0,12.0,80.0,55.0,54.0
6563a1ae3ef936792ce0c23e,0.0,54.0,0.0,0.0,0.0,0.0
6563a1ae3ef936792ce0c23f,0.0,90.0,0.0,0.0,0.0,0.0
6563a1ae3ef936792ce0c240,63.0,80.0,25.0,100.0,98.0,50.0
6563a1ae3ef936792ce0c241,63.0,100.0,42.0,100.0,27.0,80.0
6563a1ae3ef936792ce0c242,0.0,0.0,0.0,0.0,0.0,0.0
6563a1ae3ef936792ce0c243,0.0,0.0,0.0,0.0,0.0,0.0
6563a1ae3ef936792ce0c244,38.0,10.0,23.0,28.0,38.0,42.0
6563a1ae3ef936792ce0c245,88.0,10.0,33.0,45.0,40.0,60.0
6563a1ae3ef936792ce0c246,0.0,0.0,0.0,0.0,0.0,0.0
6563a1ae3ef936792ce0c247,0.0,0.0,0.0,0.0,0.0,0.0
6563a1ae3ef936792ce0c248,63.0,10.0,96.0,60.0,74.0,56.0
6563a1ae3ef936792ce0c249,50.0,11.0,47.0,95.0,100.0,80.0
6563a1ae3ef936792ce0c24a,63.0,18.0,17.0,20.0,35.0,80.0
6563a1ae3ef936792ce0c24b,0.0,98.0,0.0,0.0,0.0,0.0
6563a1ae3ef936792ce0c24c,88.0,38.0,23.0,56.0,51.0,95.0
6563a1ae3ef936792ce0c24d,50.0,10.0,58.0,40.0,63.0,70.0
6563a1ae3ef936792ce0c24e,25.0,53.0,23.0,54.0,21.0,56.0
6563a1ae3ef936792ce0c24f,88.0,11.0,33.0,40.0,34.0,90.0
6563a1ae3ef936792ce0c250,0.0,27.0,0.0,0.0,0.0,0.0
6563a1ae3ef936792ce0c251,0.0,43.0,0.0,0.0,0.0,0.0
6563a1ae3ef936792ce0c252,69.0,12.0,27.0,56.0,46.0,100.0
6563a1ae3ef936792ce0c253,0.0,0.0,0.0,0.0,0.0,0.0
6563a1ae3ef936792ce0c254,75.0,10.0,23.0,28.0,22.0,80.0
6563a1ae3ef936792ce0c255,81.0,40.0,29.0,55.0,63.0,90.0
6563a1ae3ef936792ce0c256,100.0,26.0,27.0,50.0,47.0,100.0
6563a1ae3ef936792ce0c257,88.0,11.0,33.0,28.0,36.0,100.0
6563a1ae3ef936792ce0c258,50.0,53.0,35.0,74.0,48.0,74.0
6563a1ae3ef936792ce0c259,81.0,8.0,29.0,25.0,27.0,80.0
6563a1ae3ef936792ce0c25a,0.0,0.0,0.0,0.0,0.0,0.0
6563a1ae3ef936792ce0c25b,94.0,48.0,38.0,60.0,43.0,85.0
6563a1ae3ef936792ce0c25c,50.0,28.0,50.0,70.0,79.0,40.0
6563a1ae3ef936792ce0c25d,0.0,54.0,0.0,0.0,0.0,0.0
6563a1ae3ef936792ce0c25e,10.0,7.0,8.0,10.0,90.0,40.0
6563a1ae3ef936792ce0c25f,63.0,80.0,35.0,95.0,100.0,84.0
6563a1ae3ef936792ce0c260,100.0,100.0,100.0,100.0,100.0,84.0
6563a1ae3ef936792ce0c261,88.0,100.0,79.0,100.0,100.0,100.0
6563a1ae3ef936792ce0c262,38.0,10.0,12.0,32.0,22.0,64.0
6563a1ae3ef936792ce0c263,75.0,12.0,23.0,28.0,19.0,70.0
6563a1ae3ef936792ce0c264,63.0,36.0,33.0,60.0,27.0,40.0
6563a1ae3ef936792ce0c265,0.0,0.0,0.0,0.0,0.0,0.0
6563a1af3ef936792ce0c266,0.0,0.0,0.0,0.0,0.0,0.0
6563a1af3ef936792ce0c267,56.0,37.0,33.0,40.0,20.0,40.0
6563a1af3ef936792ce0c268,25.0,10.0,35.0,28.0,21.0,42.0
6563a1af3ef936792ce0c269,0.0,0.0,0.0,0.0,0.0,0.0
6563a1af3ef936792ce0c26a,0.0,0.0,0.0,0.0,0.0,0.0
6563a1af3ef936792ce0c26b,0.0,35.0,0.0,0.0,0.0,0.0
6563a1af3ef936792ce0c26c,63.0,14.0,23.0,75.0,100.0,65.0
6563a1af3ef936792ce0c26d,38.0,95.0,100.0,100.0,100.0,85.0
6563a1af3ef936792ce0c26e,0.0,0.0,0.0,0.0,0.0,0.0
6563a1af3ef936792ce0c26f,88.0,100.0,92.0,100.0,100.0,56.0
6563a1af3ef936792ce0c270,75.0,67.0,100.0,84.0,100.0,56.0
6563a1af3ef936792ce0c271,63.0,8.0,33.0,20.0,52.0,80.0
6563a1af3ef936792ce0c272,63.0,8.0,33.0,15.0,45.0,80.0
6563a1af3ef936792ce0c273,75.0,16.0,33.0,10.0,23.0,70.0
6563a1af3ef936792ce0c274,44.0,10.0,100.0,80.0,100.0,30.0
6563a1af3ef936792ce0c275,0.0,0.0,0.0,0.0,0.0,0.0
6563a1af3ef936792ce0c276,63.0,10.0,8.0,70.0,43.0,70.0
6563a1af3ef936792ce0c277,50.0,11.0,53.0,28.0,70.0,75.0
6563a1af3ef936792ce0c278,75.0,10.0,35.0,42.0,88.0,65.0
6563a1af3ef936792ce0c279,75.0,28.0,50.0,60.0,76.0,85.0
6563a1af3ef936792ce0c27a,88.0,16.0,30.0,60.0,41.0,100.0
6563a1af3ef936792ce0c27b,75.0,13.0,33.0,30.0,36.0,100.0
6563a1af3ef936792ce0c27c,0.0,48.0,0.0,0.0,0.0,0.0
6563a1af3ef936792ce0c27d,63.0,32.0,45.0,80.0,45.0,65.0
6563a1af3ef936792ce0c27e,38.0,10.0,35.0,32.0,20.0,56.0
6563a1af3ef936792ce0c27f,50.0,28.0,8.0,30.0,69.0,25.0
6563a1af3ef936792ce0c280,63.0,28.0,38.0,50.0,40.0,90.0
6563a1af3ef936792ce0c281,0.0,0.0,0.0,0.0,0.0,0.0
6563a1af3ef936792ce0c282,69.0,14.0,12.0,90.0,52.0,28.0
6563a1af3ef936792ce0c283,50.0,8.0,20.0,28.0,77.0,64.0
6563a1af3ef936792ce0c284,0.0,0.0,0.0,0.0,0.0,0.0
6563a1af3ef936792ce0c285,0.0,72.0,0.0,0.0,0.0,0.0
6563a1af3ef936792ce0c286,38.0,10.0,27.0,42.0,47.0,56.0
6563a1af3ef936792ce0c287,10.0,83.0,23.0,95.0,28.0,72.0
6563a1af3ef936792ce0c288,63.0,80.0,33.0,80.0,100.0,84.0
6563a1af3ef936792ce0c289,50.0,10.0,50.0,80.0,80.0,64.0
6563a1af3ef936792ce0c28a,0.0,72.0,0.0,0.0,0.0,0.0
6563a1af3ef936792ce0c28b,0.0,0.0,0.0,0.0,0.0,0.0
6563a1af3ef936792ce0c28c,0.0,0.0,0.0,0.0,0.0,0.0
6563a1af3ef936792ce0c28d,0.0,45.0,0.0,0.0,0.0,0.0
6563a1af3ef936792ce0c28e,50.0,34.0,58.0,80.0,100.0,30.0
6563a1af3ef936792ce0c28f,63.0,10.0,38.0,36.0,68.0,70.0
6563a1af3ef936792ce0c290,0.0,0.0,0.0,0.0,0.0,0.0
6563a1af3ef936792ce0c291,0.0,73.0,0.0,0.0,0.0,0.0
6563a1af3ef936792ce0c292,38.0,10.0,12.0,42.0,57.0,64.0
6563a1af3ef936792ce0c293,0.0,0.0,0.0,0.0,0.0,0.0
6563a1af3ef936792ce0c294,69.0,85.0,42.0,70.0,100.0,40.0
6563a1af3ef936792ce0c295,0.0,0.0,0.0,0.0,0.0,0.0
6563a1af3ef936792ce0c296,0.0,0.0,0.0,0.0,0.0,0.0
6563a1af3ef936792ce0c297,50.0,75.0,23.0,28.0,11.0,56.0
6563a1af3ef936792ce0c298,100.0,95.0,63.0,90.0,60.0,75.0
6563a1af3ef936792ce0c299,100.0,10.0,23.0,28.0,60.0,32.0
6563a1af3ef936792ce0c29a,0.0,65.0,0.0,0.0,0.0,0.0
6563a1af3ef936792ce0c29b,69.0,32.0,25.0,40.0,27.0,15.0
6563a1af3ef936792ce0c29c,63.0,28.0,42.0,70.0,48.0,60.0
6563a1af3ef936792ce0c29d,50.0,11.0,25.0,70.0,20.0,70.0
6563a1af3ef936792ce0c29e,63.0,28.0,25.0,10.0,47.0,35.0
6563a1af3ef936792ce0c29f,0.0,0.0,0.0,0.0,0.0,0.0
6563a1af3ef936792ce0c2a0,38.0,10.0,8.0,10.0,19.0,70.0
6563a1af3ef936792ce0c2a1,88.0,48.0,23.0,56.0,100.0,80.0
6563a1af3ef936792ce0c2a2,63.0,53.0,23.0,42.0,52.0,85.0
6563a1af3ef936792ce0c2a3,50.0,10.0,23.0,28.0,51.0,70.0
6563a1af3ef936792ce0c2a4,50.0,28.0,67.0,99.0,94.0,56.0
6563a1af3ef936792ce0c2a5,69.0,19.0,38.0,55.0,60.0,100.0
6563a1af3ef936792ce0c2a6,81.0,93.0,83.0,90.0,100.0,80.0
6563a1af3ef936792ce0c2a7,75.0,77.0,50.0,60.0,31.0,80.0
